"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2012-01-18,11.92,2.05,"16","3","winter","ACORN-G",0.76,0.93,6.28,"1",10.3086470647059
2012-01-18,11.92,2.05,"16","3","winter","ACORN-H",0.76,0.93,6.28,"1",10.3509090954545
2012-01-18,11.92,2.05,"16","3","winter","ACORN-J",0.76,0.93,6.28,"1",18.00579991
2012-01-18,11.92,2.05,"16","3","winter","ACORN-K",0.76,0.93,6.28,"1",12.5307058823529
2012-01-18,11.92,2.05,"16","3","winter","ACORN-L",0.76,0.93,6.28,"1",15.182
2012-01-18,11.92,2.05,"16","3","winter","ACORN-M",0.76,0.93,6.28,"1",11.84480004
2012-01-18,11.92,2.05,"16","3","winter","ACORN-N",0.76,0.93,6.28,"1",18.71140006
2012-01-18,11.92,2.05,"16","3","winter","ACORN-O",0.76,0.93,6.28,"1",12.0176
2012-01-18,11.92,2.05,"16","3","winter","ACORN-P",0.76,0.93,6.28,"1",5.28299998333333
2012-01-18,11.92,2.05,"16","3","winter","ACORN-Q",0.76,0.93,6.28,"1",11.0248356273973
2012-01-18,11.92,2.05,"16","3","winter","ACORN-U",0.76,0.93,6.28,"1",11.7598
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-A",0.53,0.88,6.31,"1",25.0240838683871
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-B",0.53,0.88,6.31,"1",15.34284
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-C",0.53,0.88,6.31,"1",14.8671946261745
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-D",0.53,0.88,6.31,"1",18.707080996831
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-E",0.53,0.88,6.31,"1",14.7554958172347
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-F",0.53,0.88,6.31,"1",12.0901301766272
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-G",0.53,0.88,6.31,"1",13.9342647151961
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-H",0.53,0.88,6.31,"1",13.851237248337
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-I",0.53,0.88,6.31,"1",12.0957755122449
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-J",0.53,0.88,6.31,"1",17.1152018477064
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-K",0.53,0.88,6.31,"1",12.2481801198758
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-L",0.53,0.88,6.31,"1",12.3860739630178
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-M",0.53,0.88,6.31,"1",13.8786194619469
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-N",0.53,0.88,6.31,"1",11.4572066706667
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-O",0.53,0.88,6.31,"1",10.5999902019608
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-P",0.53,0.88,6.31,"1",8.69505505045872
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-Q",0.53,0.88,6.31,"1",9.20368613065693
2013-01-22,-1.43,-5.09,"16","2","winter","ACORN-U",0.53,0.88,6.31,"1",18.8091250208333
2014-01-21,6.26,1.97,"16","2","winter","ACORN-A",0.37,0.89,6.36,"1",21.7253071485714
2014-01-21,6.26,1.97,"16","2","winter","ACORN-B",0.37,0.89,6.36,"1",13.6978260956522
2014-01-21,6.26,1.97,"16","2","winter","ACORN-C",0.37,0.89,6.36,"1",13.1900575489209
2014-01-21,6.26,1.97,"16","2","winter","ACORN-D",0.37,0.89,6.36,"1",15.5624767468992
2014-01-21,6.26,1.97,"16","2","winter","ACORN-E",0.37,0.89,6.36,"1",12.13000928394
2014-01-21,6.26,1.97,"16","2","winter","ACORN-F",0.37,0.89,6.36,"1",10.3288862540284
2014-01-21,6.26,1.97,"16","2","winter","ACORN-G",0.37,0.89,6.36,"1",11.6517120361257
2014-01-21,6.26,1.97,"16","2","winter","ACORN-H",0.37,0.89,6.36,"1",11.911939956351
2014-01-21,6.26,1.97,"16","2","winter","ACORN-I",0.37,0.89,6.36,"1",10.30654165625
2014-01-21,6.26,1.97,"16","2","winter","ACORN-J",0.37,0.89,6.36,"1",12.4221353989583
2014-01-21,6.26,1.97,"16","2","winter","ACORN-K",0.37,0.89,6.36,"1",11.3587533393333
2014-01-21,6.26,1.97,"16","2","winter","ACORN-L",0.37,0.89,6.36,"1",10.9495266420063
2014-01-21,6.26,1.97,"16","2","winter","ACORN-M",0.37,0.89,6.36,"1",11.078456315534
2014-01-21,6.26,1.97,"16","2","winter","ACORN-N",0.37,0.89,6.36,"1",9.74928671258741
2014-01-21,6.26,1.97,"16","2","winter","ACORN-O",0.37,0.89,6.36,"1",8.86118278709677
2014-01-21,6.26,1.97,"16","2","winter","ACORN-P",0.37,0.89,6.36,"1",7.42410783921569
2014-01-21,6.26,1.97,"16","2","winter","ACORN-Q",0.37,0.89,6.36,"1",7.97565695443709
2014-01-21,6.26,1.97,"16","2","winter","ACORN-U",0.37,0.89,6.36,"1",11.7496666711111
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-A",0.67,0.85,6.41,"1",26.4147548296774
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-B",0.67,0.85,6.41,"1",15.898280024
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-C",0.67,0.85,6.41,"1",16.6088053711409
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-D",0.67,0.85,6.41,"1",19.2727852151408
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-E",0.67,0.85,6.41,"1",15.257333119164
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-F",0.67,0.85,6.41,"1",12.5699867079764
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-G",0.67,0.85,6.41,"1",14.4443921583333
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-H",0.67,0.85,6.41,"1",14.4552394694013
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-I",0.67,0.85,6.41,"1",13.6468979591837
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-J",0.67,0.85,6.41,"1",17.62630909
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-K",0.67,0.85,6.41,"1",12.9882484434783
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-L",0.67,0.85,6.41,"1",13.1020294970501
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-M",0.67,0.85,6.41,"1",13.843743360177
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-N",0.67,0.85,6.41,"1",11.6437800026667
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-O",0.67,0.85,6.41,"1",10.8209509882353
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-P",0.67,0.85,6.41,"1",8.73022018807339
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-Q",0.67,0.85,6.41,"1",9.36202311216545
2013-01-18,-2.04,-7.8,"16","5","winter","ACORN-U",0.67,0.85,6.41,"1",19.8169166979167
2014-01-30,5.86,0.61,"16","4","winter","ACORN-A",0.81,0.91,6.63,"1",22.4901560411348
2014-01-30,5.86,0.61,"16","4","winter","ACORN-B",0.81,0.91,6.63,"1",12.9240434869565
2014-01-30,5.86,0.61,"16","4","winter","ACORN-C",0.81,0.91,6.63,"1",13.7157410057554
2014-01-30,5.86,0.61,"16","4","winter","ACORN-D",0.81,0.91,6.63,"1",15.3702906988372
2014-01-30,5.86,0.61,"16","4","winter","ACORN-E",0.81,0.91,6.63,"1",12.7041404017908
2014-01-30,5.86,0.61,"16","4","winter","ACORN-F",0.81,0.91,6.63,"1",10.4261706161137
2014-01-30,5.86,0.61,"16","4","winter","ACORN-G",0.81,0.91,6.63,"1",11.9312774816754
2014-01-30,5.86,0.61,"16","4","winter","ACORN-H",0.81,0.91,6.63,"1",12.0900949090278
2014-01-30,5.86,0.61,"16","4","winter","ACORN-I",0.81,0.91,6.63,"1",9.93353190638298
2014-01-30,5.86,0.61,"16","4","winter","ACORN-J",0.81,0.91,6.63,"1",13.0315263136842
2014-01-30,5.86,0.61,"16","4","winter","ACORN-K",0.81,0.91,6.63,"1",11.2881133286667
2014-01-30,5.86,0.61,"16","4","winter","ACORN-L",0.81,0.91,6.63,"1",11.35326415
2014-01-30,5.86,0.61,"16","4","winter","ACORN-M",0.81,0.91,6.63,"1",11.1564660135922
2014-01-30,5.86,0.61,"16","4","winter","ACORN-N",0.81,0.91,6.63,"1",9.53735416319445
2014-01-30,5.86,0.61,"16","4","winter","ACORN-O",0.81,0.91,6.63,"1",9.14675268924731
2014-01-30,5.86,0.61,"16","4","winter","ACORN-P",0.81,0.91,6.63,"1",7.48678844903846
2014-01-30,5.86,0.61,"16","4","winter","ACORN-Q",0.81,0.91,6.63,"1",8.33657845678191
2014-01-30,5.86,0.61,"16","4","winter","ACORN-U",0.81,0.91,6.63,"1",12.6313409045455
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-A",0.77,0.89,6.73,"1",18.9616428571429
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-B",0.77,0.89,6.73,"1",4.6015
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-C",0.77,0.89,6.73,"1",16.43400001
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-D",0.77,0.89,6.73,"1",15.85957144
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-E",0.77,0.89,6.73,"1",15.5221414050505
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-F",0.77,0.89,6.73,"1",11.9857901135802
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-G",0.77,0.89,6.73,"1",14.119149975
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-H",0.77,0.89,6.73,"1",12.55936
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-I",0.77,0.89,6.73,"1",14.191
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-J",0.77,0.89,6.73,"1",19.00641665
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-K",0.77,0.89,6.73,"1",13.2738235294118
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-L",0.77,0.89,6.73,"1",16.979520004
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-M",0.77,0.89,6.73,"1",14.33539998
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-N",0.77,0.89,6.73,"1",12.4928333333333
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-O",0.77,0.89,6.73,"1",10.15179998
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-P",0.77,0.89,6.73,"1",4.91577776666667
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-Q",0.77,0.89,6.73,"1",11.7823690440476
2012-01-29,2.68,-0.24,"16","7","winter","ACORN-U",0.77,0.89,6.73,"1",13.64540006
2014-01-31,5.27,0.29,"16","5","winter","ACORN-A",0.73,0.91,7.08,"1",21.5789787078014
2014-01-31,5.27,0.29,"16","5","winter","ACORN-B",0.73,0.91,7.08,"1",14.1238260652174
2014-01-31,5.27,0.29,"16","5","winter","ACORN-C",0.73,0.91,7.08,"1",14.014618705036
2014-01-31,5.27,0.29,"16","5","winter","ACORN-D",0.73,0.91,7.08,"1",15.906104644186
2014-01-31,5.27,0.29,"16","5","winter","ACORN-E",0.73,0.91,7.08,"1",12.9073116068052
2014-01-31,5.27,0.29,"16","5","winter","ACORN-F",0.73,0.91,7.08,"1",10.7995553816456
2014-01-31,5.27,0.29,"16","5","winter","ACORN-G",0.73,0.91,7.08,"1",12.0184345570681
2014-01-31,5.27,0.29,"16","5","winter","ACORN-H",0.73,0.91,7.08,"1",12.2094513861111
2014-01-31,5.27,0.29,"16","5","winter","ACORN-I",0.73,0.91,7.08,"1",9.57212766595745
2014-01-31,5.27,0.29,"16","5","winter","ACORN-J",0.73,0.91,7.08,"1",13.3374421042105
2014-01-31,5.27,0.29,"16","5","winter","ACORN-K",0.73,0.91,7.08,"1",11.6607466606667
2014-01-31,5.27,0.29,"16","5","winter","ACORN-L",0.73,0.91,7.08,"1",11.2078679254717
2014-01-31,5.27,0.29,"16","5","winter","ACORN-M",0.73,0.91,7.08,"1",11.7929126165049
2014-01-31,5.27,0.29,"16","5","winter","ACORN-N",0.73,0.91,7.08,"1",10.0405833277778
2014-01-31,5.27,0.29,"16","5","winter","ACORN-O",0.73,0.91,7.08,"1",8.83531182688172
