"date","apparentTemperatureMax","sunsetTimeHour","weekday","season","stdorToU","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2013-01-10,2.36,"16","4","winter","Std","ACORN-E",0.7,0.94,5.21,"1",13.1756743255948
2013-01-10,2.36,"16","4","winter","ToU","ACORN-E",0.7,0.94,5.21,"1",11.4623620192878
2013-01-10,2.36,"16","4","winter","Std","ACORN-F",0.7,0.94,5.21,"1",10.8804904952471
2013-01-10,2.36,"16","4","winter","ToU","ACORN-F",0.7,0.94,5.21,"1",10.5895562953642
2013-01-10,2.36,"16","4","winter","Std","ACORN-G",0.7,0.94,5.21,"1",12.8687770719745
2013-01-10,2.36,"16","4","winter","ToU","ACORN-G",0.7,0.94,5.21,"1",9.27604255531915
2013-01-10,2.36,"16","4","winter","Std","ACORN-H",0.7,0.94,5.21,"1",12.8046467388587
2013-01-10,2.36,"16","4","winter","ToU","ACORN-H",0.7,0.94,5.21,"1",11.6837710759036
2013-01-10,2.36,"16","4","winter","Std","ACORN-I",0.7,0.94,5.21,"1",11.0306341365854
2013-01-10,2.36,"16","4","winter","ToU","ACORN-I",0.7,0.94,5.21,"1",11.29
2013-01-10,2.36,"16","4","winter","Std","ACORN-J",0.7,0.94,5.21,"1",15.1960624925
2013-01-10,2.36,"16","4","winter","ToU","ACORN-J",0.7,0.94,5.21,"1",12.5965806548387
2013-01-10,2.36,"16","4","winter","Std","ACORN-K",0.7,0.94,5.21,"1",10.6601690119718
2013-01-10,2.36,"16","4","winter","ToU","ACORN-K",0.7,0.94,5.21,"1",11.8658636409091
2013-01-10,2.36,"16","4","winter","Std","ACORN-L",0.7,0.94,5.21,"1",11.5681704522727
2013-01-10,2.36,"16","4","winter","ToU","ACORN-L",0.7,0.94,5.21,"1",10.7148684197368
2013-01-10,2.36,"16","4","winter","Std","ACORN-M",0.7,0.94,5.21,"1",11.6883541583333
2013-01-10,2.36,"16","4","winter","ToU","ACORN-M",0.7,0.94,5.21,"1",13.4533529411765
2013-01-10,2.36,"16","4","winter","Std","ACORN-N",0.7,0.94,5.21,"1",10.4119920016
2013-01-10,2.36,"16","4","winter","ToU","ACORN-N",0.7,0.94,5.21,"1",10.85696
2013-01-10,2.36,"16","4","winter","Std","ACORN-O",0.7,0.94,5.21,"1",9.30464367471264
2013-01-10,2.36,"16","4","winter","ToU","ACORN-O",0.7,0.94,5.21,"1",11.33387500625
2013-01-10,2.36,"16","4","winter","Std","ACORN-P",0.7,0.94,5.21,"1",8.86966665977011
2013-01-10,2.36,"16","4","winter","ToU","ACORN-P",0.7,0.94,5.21,"1",3.7985
2013-01-10,2.36,"16","4","winter","Std","ACORN-Q",0.7,0.94,5.21,"1",8.37201558130312
2013-01-10,2.36,"16","4","winter","ToU","ACORN-Q",0.7,0.94,5.21,"1",8.09078812881356
2013-01-10,2.36,"16","4","winter","Std","ACORN-U",0.7,0.94,5.21,"1",18.5071842552632
2013-01-10,2.36,"16","4","winter","ToU","ACORN-U",0.7,0.94,5.21,"1",11.66309999
2013-01-06,6.98,"16","7","winter","Std","ACORN-A",0.67,0.96,5.5,"1",25.0617008470085
2013-01-06,6.98,"16","7","winter","ToU","ACORN-A",0.67,0.96,5.5,"1",21.6414210552632
2013-01-06,6.98,"16","7","winter","Std","ACORN-B",0.67,0.96,5.5,"1",12.8145714190476
2013-01-06,6.98,"16","7","winter","ToU","ACORN-B",0.67,0.96,5.5,"1",16.80024995
2013-01-06,6.98,"16","7","winter","Std","ACORN-C",0.67,0.96,5.5,"1",15.2925172353448
2013-01-06,6.98,"16","7","winter","ToU","ACORN-C",0.67,0.96,5.5,"1",13.1114848393939
2013-01-06,6.98,"16","7","winter","Std","ACORN-D",0.67,0.96,5.5,"1",17.5061698132075
2013-01-06,6.98,"16","7","winter","ToU","ACORN-D",0.67,0.96,5.5,"1",14.5906986273973
2013-01-06,6.98,"16","7","winter","Std","ACORN-E",0.67,0.96,5.5,"1",12.9532036094417
2013-01-06,6.98,"16","7","winter","ToU","ACORN-E",0.67,0.96,5.5,"1",11.4747833848665
2013-01-06,6.98,"16","7","winter","Std","ACORN-F",0.67,0.96,5.5,"1",11.690979088403
2013-01-06,6.98,"16","7","winter","ToU","ACORN-F",0.67,0.96,5.5,"1",10.2293046304636
2013-01-06,6.98,"16","7","winter","Std","ACORN-G",0.67,0.96,5.5,"1",13.3952420401274
2013-01-06,6.98,"16","7","winter","ToU","ACORN-G",0.67,0.96,5.5,"1",10.1369574446809
2013-01-06,6.98,"16","7","winter","Std","ACORN-H",0.67,0.96,5.5,"1",13.7367983673025
2013-01-06,6.98,"16","7","winter","ToU","ACORN-H",0.67,0.96,5.5,"1",12.5858554349398
2013-01-06,6.98,"16","7","winter","Std","ACORN-I",0.67,0.96,5.5,"1",12.1564146292683
2013-01-06,6.98,"16","7","winter","ToU","ACORN-I",0.67,0.96,5.5,"1",11.15525
2013-01-06,6.98,"16","7","winter","Std","ACORN-J",0.67,0.96,5.5,"1",14.73045001375
2013-01-06,6.98,"16","7","winter","ToU","ACORN-J",0.67,0.96,5.5,"1",13.6160322548387
2013-01-06,6.98,"16","7","winter","Std","ACORN-K",0.67,0.96,5.5,"1",11.8675531914894
2013-01-06,6.98,"16","7","winter","ToU","ACORN-K",0.67,0.96,5.5,"1",12.7684999863636
2013-01-06,6.98,"16","7","winter","Std","ACORN-L",0.67,0.96,5.5,"1",12.6533825765152
2013-01-06,6.98,"16","7","winter","ToU","ACORN-L",0.67,0.96,5.5,"1",11.4063026236842
2013-01-06,6.98,"16","7","winter","Std","ACORN-M",0.67,0.96,5.5,"1",12.4533125041667
2013-01-06,6.98,"16","7","winter","ToU","ACORN-M",0.67,0.96,5.5,"1",12.2102352941176
2013-01-06,6.98,"16","7","winter","Std","ACORN-N",0.67,0.96,5.5,"1",11.0611679992
2013-01-06,6.98,"16","7","winter","ToU","ACORN-N",0.67,0.96,5.5,"1",11.564400004
