"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2012-08-01,21.29,15.61,"19","3","summer",0.45,0.74,12.63,"8",13.13,1010.31,8.06490363972228
2013-09-18,15.86,6.46,"18","3","summer",0.49,0.84,11.99,"9",9.46,1010.33,8.87898643248615
2013-05-29,14.69,10.79,"20","3","spring",0.94,0.86,8.71,"5",10.28,1010.33,9.11234303781262
2014-02-23,11.94,5.53,"17","7","winter",0.66,0.76,12.33,"2",6.17,1010.37,11.4804107632653
2013-10-14,12.58,6.51,"17","1","autumn",0.45,0.88,9.27,"10",8.44,1010.38,10.0308578288761
2012-06-21,17.53,11.44,"20","4","spring",0.54,0.78,12.92,"6",10.62,1010.38,8.40507731252409
2012-07-18,20.18,13.77,"20","3","summer",0.48,0.73,12.96,"7",11.56,1010.4,8.26354165777262
2013-10-15,14.87,6.42,"17","2","autumn",0.44,0.91,7.15,"10",8.97,1010.46,9.64234974045376
2012-07-27,21.09,14.93,"19","5","summer",0.44,0.55,13.26,"7",8.16,1010.56,8.22438289806234
2013-10-29,12.38,4.43,"16","2","autumn",0.25,0.77,13.66,"10",5.21,1010.58,9.91441066565268
2013-10-01,19.1,13.62,"17","2","autumn",0.59,0.87,7.87,"10",13.64,1010.58,8.91894433675624
2013-03-13,3.01,-2.39,"18","3","winter",0.37,0.73,13.04,"3",-1.54,1010.59,12.119938075341
2011-12-09,3.99,-1.42,"15","5","autumn",0.15,0.71,12.83,"12",0.41,1010.6,11.7598369548913
2012-05-19,12.18,6.81,"19","6","spring",0.87,0.82,12.73,"5",7.63,1010.67,9.00107697252818
2012-07-09,17.46,13.28,"20","1","summer",0.55,0.84,12.18,"7",12.53,1010.77,8.49631924163364
2013-08-23,19.59,14.94,"19","5","summer",0.56,0.9,5.58,"8",15.99,1010.79,7.82022996293547
2013-10-12,11.47,6.46,"17","6","autumn",0.58,0.92,9.38,"10",8.92,1010.8,9.59702380887097
2011-12-08,12.89,0.63,"15","4","autumn",0.53,0.81,12.59,"12",5.96,1010.84,11.5251496988024
2012-07-10,18.75,12.07,"20","2","summer",0.48,0.79,13,"7",10.82,1010.87,8.3346625269281
2013-03-29,1.71,-2.99,"18","5","spring",0.59,0.63,13.45,"3",-4.23,1010.88,12.2315757362123
2013-12-30,10.22,4.21,"16","1","winter",0.55,0.83,11.35,"12",5.98,1010.88,11.8136104249265
2013-11-18,8.54,5.02,"16","1","autumn",0.98,0.92,5.39,"11",7.23,1010.92,11.044271902528
2013-05-10,13.18,4.29,"19","5","spring",0.56,0.78,12.2,"5",5.99,1010.93,8.60023035333333
2012-07-08,18,14.38,"20","7","summer",0.61,0.85,11.28,"7",13.52,1010.95,9.07939085828317
2013-06-12,17.59,12.96,"20","3","spring",0.78,0.75,11.94,"6",10.14,1011.04,8.66690183529412
2012-08-13,23.97,17.81,"19","1","summer",0.44,0.75,11.8,"8",15.33,1011.08,8.08390716229784
2013-04-12,11.42,3.3,"18","5","spring",0.57,0.87,11.06,"4",7.01,1011.09,10.3722930491566
2013-05-18,17.85,8.56,"19","6","spring",0.32,0.7,11.1,"5",7.71,1011.12,9.15104978517621
2012-08-12,22.68,15.26,"19","7","summer",0.42,0.79,12.04,"8",14.78,1011.16,8.40144180659664
2012-04-01,15.04,3.98,"18","7","spring",0.24,0.63,12.46,"4",2.18,1011.19,10.7465230768421
2012-11-19,11.23,1.42,"16","1","autumn",0.5,0.82,12.38,"11",5.32,1011.21,11.40628127171
2013-09-04,28.59,15.54,"18","3","summer",0.12,0.71,9.08,"9",15.23,1011.32,8.0301706984759
2013-07-28,22.36,16.48,"19","7","summer",0.55,0.75,12.3,"7",14.19,1011.33,8.19185876185801
2012-11-22,13.09,4.09,"16","4","autumn",0.54,0.81,12.73,"11",7.94,1011.36,10.9990513574864
2013-05-19,16.87,11.38,"19","7","spring",0.81,0.84,7.31,"5",11.42,1011.37,9.23372603556509
2013-03-30,1.53,-2.65,"18","6","spring",0.66,0.69,13.1,"3",-2.47,1011.38,11.7919036962847
2013-06-11,17.01,14.16,"20","2","spring",0.93,0.86,10.86,"6",13.22,1011.39,8.45881957720382
2013-02-14,10.59,-0.11,"17","4","winter",0.55,0.81,10.56,"2",4.54,1011.45,11.9807755056945
2013-01-14,0.94,-3.4,"16","1","winter",0.59,0.88,9.66,"1",-0.61,1011.47,13.1828340586238
2013-03-31,1.29,-3.14,"18","7","spring",0.57,0.64,12.68,"3",-3.45,1011.52,11.9327208888355
2014-02-19,10.13,2.65,"17","3","winter",0.64,0.87,9.95,"2",5.62,1011.57,10.6746236023562
2012-11-11,8.39,0.46,"16","7","autumn",0.22,0.88,10.32,"11",3.49,1011.6,12.0249497089544
2013-03-27,-0.19,-4.06,"18","3","spring",0.48,0.64,12.86,"3",-4.47,1011.63,12.4960441531868
2013-07-01,17.5,11.84,"20","1","summer",0.6,0.72,13.13,"7",9.93,1011.64,8.11550984061856
