"date","Acorn","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2014-02-05,"ACORN-H",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,12.0908051064965
2014-02-05,"ACORN-I",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,9.23538297446808
2014-02-05,"ACORN-J",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,12.8649462311828
2014-02-05,"ACORN-K",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,11.4892466666667
2014-02-05,"ACORN-L",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,10.5729968416404
2014-02-05,"ACORN-M",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,11.2757281572816
2014-02-05,"ACORN-N",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,9.53204166875
2014-02-05,"ACORN-O",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,8.7546666688172
2014-02-05,"ACORN-P",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,7.88479207524752
2014-02-05,"ACORN-Q",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,8.2516839996
2014-02-05,"ACORN-U",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,10.61008888
2012-04-17,"ACORN-A",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,20.3451025692308
2012-04-17,"ACORN-B",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,7.2064
2012-04-17,"ACORN-C",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,10.5301724068966
2012-04-17,"ACORN-D",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,12.5957735811321
2012-04-17,"ACORN-E",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,11.6623570231405
2012-04-17,"ACORN-F",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,8.85240196176471
2012-04-17,"ACORN-G",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,10.9904222511111
2012-04-17,"ACORN-H",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,9.00825351830986
2012-04-17,"ACORN-I",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,9.156125
2012-04-17,"ACORN-J",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,13.3072916375
2012-04-17,"ACORN-K",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,10.060019988
2012-04-17,"ACORN-L",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,10.3644637637681
2012-04-17,"ACORN-M",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,8.34935294705882
2012-04-17,"ACORN-N",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,9.48715
2012-04-17,"ACORN-O",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,9.12357895263158
2012-04-17,"ACORN-P",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,9.91265117674419
2012-04-17,"ACORN-Q",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,8.03044255276596
2012-04-17,"ACORN-U",10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,8.23019999
2012-04-18,"ACORN-A",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,20.8257179538462
2012-04-18,"ACORN-B",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,7.354
2012-04-18,"ACORN-C",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,11.1627419290323
2012-04-18,"ACORN-D",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,12.6712523392523
2012-04-18,"ACORN-E",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,11.9810805149758
2012-04-18,"ACORN-F",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,9.08787263773585
2012-04-18,"ACORN-G",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,10.8502500166667
2012-04-18,"ACORN-H",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,9.39668918378378
2012-04-18,"ACORN-I",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,9.358375
2012-04-18,"ACORN-J",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,12.189760008
2012-04-18,"ACORN-K",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,9.70661538461538
2012-04-18,"ACORN-L",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,10.6382916736111
2012-04-18,"ACORN-M",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,7.80947368947368
2012-04-18,"ACORN-N",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,9.19068183181818
2012-04-18,"ACORN-O",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,8.82942105789474
2012-04-18,"ACORN-P",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,10.6840000159091
2012-04-18,"ACORN-Q",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,8.09746888589212
2012-04-18,"ACORN-U",8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,7.40650001
2013-12-25,"ACORN-A",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,26.9457816887324
2013-12-25,"ACORN-B",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,16.5396087
2013-12-25,"ACORN-C",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,17.8784571464286
2013-12-25,"ACORN-D",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,16.9235328104247
2013-12-25,"ACORN-E",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,11.6391644210489
2013-12-25,"ACORN-F",4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,11.2984467026646
